Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Degree,Weighted Degree,Authority,Hub,pageranks,componentnumber,eigencentrality,clustering,triangles,stat_inf_class,modularity_class
Oberlaa,,,25,0.066621,0.088586,0,1,1,0.000057,0.000057,0.006543,0,0.042472,0,0,0,0
Neulaa,,,24,0.071324,0.102163,0.020619,2,2,0.000171,0.000171,0.011786,0,0.076132,0,0,0,0
Alaudagasse,,,23,0.076619,0.111199,0.040808,2,2,0.000454,0.000454,0.011058,0,0.096515,0,0,0,0
Altes Landgut,,,22,0.082624,0.11932,0.060567,2,2,0.001184,0.001184,0.010618,0,0.106001,0,0,0,0
Troststrasse,,,21,0.089483,0.127667,0.079897,2,2,0.003084,0.003084,0.010337,0,0.11017,0,0,0,0
Reumannplatz,,,20,0.09739,0.137024,0.098797,2,2,0.008026,0.008026,0.010091,0,0.115289,0,0,0,0
Keplerplatz,,,19,0.106593,0.148318,0.117268,2,2,0.020889,0.020888,0.009815,0,0.132908,0,0,0,0
Suedtiroler Platz - Hauptbahnhof,,,18,0.117433,0.163092,0.135309,2,2,0.054363,0.054364,0.009393,0,0.195247,0,0,0,0
Taubstummengasse,,,17,0.130376,0.184798,0.152921,2,2,0.141485,0.141482,0.008692,0,0.391468,0,0,0,0
Karlsplatz,,,16,0.146084,0.225735,0.388406,5,5,0.368211,0.368217,0.018633,0,0.955384,0,0,0,0
Stephansplatz,,,15,0.148545,0.223654,0.307775,4,4,0.397603,0.397593,0.014412,0,0.998774,0,0,0,1
Schwedenplatz,,,14,0.149461,0.227394,0.380799,4,4,0.380823,0.380834,0.014421,0,1,0,0,0,1
Nestroyplatz,,,15,0.138968,0.196715,0.247816,2,2,0.172292,0.172288,0.00801,0,0.508263,0,0,0,1
Praterstern,,,16,0.132695,0.199212,0.380369,4,4,0.133761,0.133762,0.01607,0,0.511604,0,0,0,2
Vorgartenstrasse,,,17,0.119901,0.169556,0.170103,2,2,0.051397,0.051396,0.009006,0,0.251025,0,0,0,2
Donauinsel,,,18,0.109111,0.1528,0.152921,2,2,0.019749,0.019749,0.009556,0,0.154939,0,0,0,2
Kaisermuehlen/VIC,,,19,0.099897,0.140944,0.135309,2,2,0.007588,0.007588,0.009876,0,0.122704,0,0,0,2
Alte Donau,,,20,0.091943,0.131663,0.117268,2,2,0.002916,0.002916,0.010082,0,0.113229,0,0,0,2
Kagran,,,21,0.085013,0.123884,0.098797,2,2,0.00112,0.00112,0.010242,0,0.11066,0,0,0,3
Kagraner Platz,,,22,0.078926,0.116959,0.079897,2,2,0.00043,0.00043,0.010419,0,0.109233,0,0,0,3
Rennbahnweg,,,23,0.073541,0.110389,0.060567,2,2,0.000165,0.000165,0.010667,0,0.105838,0,0,0,3
Aderklaaer strasse,,,24,0.068746,0.103613,0.040808,2,2,0.000063,0.000063,0.011085,0,0.09649,0,0,0,3
Grossfeldsiedlung,,,25,0.064452,0.095627,0.020619,2,2,0.000024,0.000024,0.011806,0,0.076129,0,0,0,3
Leopoldau,,,26,0.060587,0.082887,0,1,1,0.000008,0.000008,0.00655,0,0.042471,0,0,0,3
Seestadt,,,28,0.055397,0.078065,0,1,1,0.000001,0.000001,0.006554,0,0.042471,0,0,0,4
Aspern Nord,,,27,0.05861,0.090174,0.020619,2,2,0.000004,0.000004,0.011815,0,0.076128,0,0,0,4
Hausfeldstrasse,,,26,0.06214,0.097392,0.040808,2,2,0.000009,0.000009,0.0111,0,0.096488,0,0,0,4
Aspernstrasse,,,25,0.066031,0.103211,0.060567,2,2,0.000024,0.000024,0.010692,0,0.105822,0,0,0,4
Donauspital,,,24,0.070341,0.108569,0.079897,2,2,0.000064,0.000064,0.010465,0,0.109128,0,0,0,4
Hardeggasse,,,23,0.075136,0.113913,0.098797,2,2,0.000165,0.000165,0.010322,0,0.110069,0,0,0,4
Stadlau,,,22,0.080498,0.11956,0.117268,2,2,0.00043,0.00043,0.010227,0,0.110371,0,0,0,4
Donaustadtbruecke,,,21,0.08653,0.125824,0.135309,2,2,0.00112,0.00112,0.010135,0,0.110911,0,0,0,4
Donaumarina,,,20,0.093359,0.133093,0.152921,2,2,0.002916,0.002916,0.010023,0,0.113276,0,0,0,4
Stadion,,,19,0.101147,0.141954,0.170103,2,2,0.007588,0.007588,0.009844,0,0.122712,0,0,0,4
Krieau,,,18,0.110102,0.153447,0.186856,2,2,0.019749,0.019749,0.009539,0,0.15494,0,0,0,4
Messe-Prater,,,17,0.120497,0.169872,0.203179,2,2,0.051397,0.051396,0.008999,0,0.251025,0,0,0,4
Taborstrasse,,,16,0.133793,0.190585,0.112794,2,2,0.12443,0.124433,0.008193,0,0.425711,0,0,0,2
Schottenring,,,15,0.143491,0.21715,0.24089,4,4,0.237891,0.237884,0.015286,0,0.71673,0,0,0,2
Schottentor,,,15,0.133609,0.186548,0.055341,2,2,0.113032,0.113035,0.008327,0,0.355934,0,0,0,2
Rathaus,,,16,0.132877,0.183994,0.053086,2,2,0.099719,0.099718,0.00835,0,0.321005,0,0,0,8
Volkstheater,,,17,0.134722,0.20272,0.1514,4,4,0.184802,0.184802,0.015439,0,0.56719,0,0,0,8
Museumsquartier,,,17,0.133425,0.192738,0.043868,2,2,0.185156,0.185154,0.007979,0,0.511753,0,0,0,0
Ottakring,,,25,0.076019,0.101219,0,1,1,0.000136,0.000136,0.006454,0,0.043038,0,0,0,8
Kendlerstrasse,,,24,0.082203,0.117488,0.020619,2,2,0.000407,0.000407,0.011575,0,0.078925,0,0,0,8
Huetteldorfer strasse,,,23,0.089319,0.130304,0.040808,2,2,0.001079,0.001079,0.010743,0,0.107873,0,0,0,8
Johnstrasse,,,22,0.097586,0.144095,0.060567,2,2,0.002817,0.002817,0.010086,0,0.145048,0,0,0,8
Schweglerstrasse,,,21,0.107301,0.161962,0.079897,2,2,0.007334,0.007334,0.0094,0,0.224744,0,0,0,8
Westbahnhof,,,20,0.118873,0.192144,0.202624,4,4,0.019088,0.019088,0.016839,0,0.409012,0,0,0,8
Zieglergasse,,,19,0.122785,0.178702,0.129063,2,2,0.030529,0.030529,0.008733,0,0.269778,0,0,0,8
Neubaugasse,,,18,0.128307,0.182263,0.136365,2,2,0.072095,0.072095,0.008521,0,0.300376,0,0,0,8
Herrengasse,,,16,0.135286,0.192704,0.05509,2,2,0.194991,0.194995,0.007873,0,0.518479,0,0,0,1
Stubentor,,,16,0.132877,0.187075,0.009504,2,2,0.243494,0.243501,0.007769,0,0.58848,0,0,0,1
Landstrasse,,,15,0.139769,0.209875,0.166201,4,4,0.329678,0.32967,0.014949,0,0.820444,0,0,0,1
Rochusgasse,,,16,0.125,0.17616,0.135309,2,2,0.126672,0.126676,0.008717,0,0.338722,0,0,0,5
Kardinal-Nagl-Platz,,,17,0.112791,0.156988,0.117268,2,2,0.048674,0.048673,0.009436,0,0.176953,0,0,0,5
Schlachthausgasse,,,18,0.102537,0.143377,0.098797,2,2,0.018702,0.018703,0.009882,0,0.1273,0,0,0,5
Erdberg,,,19,0.09381,0.132591,0.079897,2,2,0.007186,0.007186,0.010217,0,0.113016,0,0,0,5
Gasometer,,,20,0.086299,0.123281,0.060567,2,2,0.00276,0.00276,0.010553,0,0.106582,0,0,0,5
